true_values,predicted_values,abs_loss,,,
1.056,1.656,0.6,,,
0.504,1.056,0.552,,,
0.515,0.504,0.011,,,
0.89,0.515,0.375,,,
2.133,0.89,1.243,,,
3.766,2.133,1.633,,,
4.013,3.766,0.247,,,
1.444,4.013,2.569,,,
0.629,1.444,0.815,,,
0.842,0.629,0.213,,,
1.7,0.842,0.858,,,
3.553,1.7,1.853,,,
6.475,3.553,2.922,,,
8.716,6.475,2.241,,,
10.074,8.716,1.358,,,
9.692,10.074,0.382,,,
9.862,9.692,0.17,,,
11.132,9.862,1.27,,,
11.611,11.132,0.479,,,
12.61,11.611,0.999,,,
12.468,12.61,0.142,,,
12.368,12.468,0.1,,,
11.715,12.368,0.653,,,
11.761,11.715,0.046,,,
12.026,11.761,0.265,,,
11.838,12.026,0.188,,,
11.337,11.838,0.501,,,
12.959,11.337,1.622,,,
14.698,12.959,1.739,,,
15.213,14.698,0.515,,,
15.798,15.213,0.585,,,
15.938,15.798,0.14,,,
15.834,15.938,0.104,,,
11.806,15.834,4.028,,,
10.504,11.806,1.302,,,
8.575,10.504,1.929,,,
7.24,8.575,1.335,,,
7.273,7.24,0.033,,,
7.408,7.273,0.135,,,
6.659,7.408,0.749,,,
6.999,6.659,0.34,,,
7.604,6.999,0.605,,,
8.47,7.604,0.866,,,
8.639,8.47,0.169,,,
11.051,8.639,2.412,,,
16,11.051,4.949,,,
8.599,16,7.401,,,
3.453,8.599,5.146,,,
2.021,3.453,1.432,,,
5.771,2.021,3.75,,,
6.209,5.771,0.438,,,
3.067,6.209,3.142,,,
2.843,3.067,0.224,,,
5.662,2.843,2.819,,,
8.002,5.662,2.34,,,
10.273,8.002,2.271,,,
6.729,10.273,3.544,,,
9.09,6.729,2.361,,,
9.016,9.09,0.074,,,
8.857,9.016,0.159,,,
12.712,8.857,3.855,,,
12.2,12.712,0.512,,,
8.305,12.2,3.895,,,
5.042,8.305,3.263,,,
3.334,5.042,1.708,,,
3.288,3.334,0.046,,,
3.83,3.288,0.542,,,
3.93,3.83,0.1,,,
4.728,3.93,0.798,,,
6.13,4.728,1.402,,,
6.773,6.13,0.643,,,
6.294,6.773,0.479,,,
5.682,6.294,0.612,,,
5.414,5.682,0.268,,,
5.545,5.414,0.131,,,
5.229,5.545,0.316,,,
5.558,5.229,0.329,,,
5.598,5.558,0.04,,,
5.795,5.598,0.197,,,
5.862,5.795,0.067,,,
6.306,5.862,0.444,,,
7.535,6.306,1.229,,,
8.892,7.535,1.357,,,
9.825,8.892,0.933,,,
10.408,9.825,0.583,,,
10.862,10.408,0.454,,,
10.955,10.862,0.093,,,
10.937,10.955,0.018,,,
11.133,10.937,0.196,,,
11.518,11.133,0.385,,,
11.389,11.518,0.129,,,
11.637,11.389,0.248,,,
12.066,11.637,0.429,,,
12.426,12.066,0.36,,,
11.894,12.426,0.532,,,
9.799,11.894,2.095,,,
9.601,9.799,0.198,,,
10.128,9.601,0.527,,,
9.791,10.128,0.337,,,
10.361,9.791,0.57,,,
9.922,10.361,0.439,,,
10.11,9.922,0.188,,,
10.532,10.11,0.422,,,
10.784,10.532,0.252,,,
10.811,10.784,0.027,,,
11.051,10.811,0.24,,,
10.932,11.051,0.119,,,
10.761,10.932,0.171,,,
10.369,10.761,0.392,,,
9.6,10.369,0.769,,,
8.9,9.6,0.7,,,
8.017,8.9,0.883,,,
6.662,8.017,1.355,,,
6.042,6.662,0.62,,,
5.829,6.042,0.213,,,
5.52,5.829,0.309,,,
5.614,5.52,0.094,,,
6.142,5.614,0.528,,,
6.107,6.142,0.035,,,
5.845,6.107,0.262,,,
6.949,5.845,1.104,,,
7.025,6.949,0.076,,,
6.981,7.025,0.044,,,
6.808,6.981,0.173,,,
6.531,6.808,0.277,,,
6.471,6.531,0.06,,,
6.712,6.471,0.241,,,
6.911,6.712,0.199,,,
6.336,6.911,0.575,,,
5.848,6.336,0.488,,,
6.384,5.848,0.536,,,
6.356,6.384,0.028,,,
6.547,6.356,0.191,,,
6.936,6.547,0.389,,,
8.427,6.936,1.491,,,
8.736,8.427,0.309,,,
8.211,8.736,0.525,,,
7.711,8.211,0.5,,,
7.924,7.711,0.213,,,
7.894,7.924,0.03,,,
6.691,7.894,1.203,,,
5.536,6.691,1.155,,,
4.682,5.536,0.854,,,
4.185,4.682,0.497,,,
3.855,4.185,0.33,,,
3.984,3.855,0.129,,,
4.892,3.984,0.908,,,
5.962,4.892,1.07,,,
5.762,5.962,0.2,,,
4.533,5.762,1.229,,,
3.751,4.533,0.782,,,
3.693,3.751,0.058,,,
4.823,3.693,1.13,,,
6.658,4.823,1.835,,,
6.688,6.658,0.03,,,
6.103,6.688,0.585,,,
4.972,6.103,1.131,,,
4.389,4.972,0.583,,,
5.175,4.389,0.786,,,
6.2,5.175,1.025,,,
6.054,6.2,0.146,,,
4.936,6.054,1.118,,,
3.072,4.936,1.864,,,
2.179,3.072,0.893,,,
3.878,2.179,1.699,,,
4.779,3.878,0.901,,,
3.839,4.779,0.94,,,
3.333,3.839,0.506,,,
5.21,3.333,1.877,,,
6.621,5.21,1.411,,,
4.64,6.621,1.981,,,
3.254,4.64,1.386,,,
1.899,3.254,1.355,,,
0.995,1.899,0.904,,,
0.718,0.995,0.277,,,
0.504,0.718,0.214,,,
0.412,0.504,0.092,,,
0.814,0.412,0.402,,,
0.971,0.814,0.157,,,
0.928,0.971,0.043,,,
1.313,0.928,0.385,,,
1.81,1.313,0.497,,,
1.744,1.81,0.066,,,
1.534,1.744,0.21,,,
1.14,1.534,0.394,,,
0.716,1.14,0.424,,,
0.787,0.716,0.071,,,
0.769,0.787,0.018,,,
1.003,0.769,0.234,,,
1.227,1.003,0.224,,,
1.102,1.227,0.125,,,
0.779,1.102,0.323,,,
0.287,0.779,0.492,,,
0.479,0.287,0.192,,,
1.084,0.479,0.605,,,
0.726,1.084,0.358,,,
0.867,0.726,0.141,,,
1.165,0.867,0.298,,,
0.904,1.165,0.261,,,
0.767,0.904,0.137,,,
0.859,0.767,0.092,,,
0.542,0.859,0.317,,,
0.084,0.542,0.458,,,
0.098,0.084,0.014,,,
0.747,0.098,0.649,,,
1.103,0.747,0.356,,,
2.779,1.103,1.676,,,
1.99,2.779,0.789,,,
1.79,1.99,0.2,,,
2.421,1.79,0.631,,,
2.054,2.421,0.367,,,
2.002,2.054,0.052,,,
2.159,2.002,0.157,,,
2.121,2.159,0.038,,,
1.718,2.121,0.403,,,
1.29,1.718,0.428,,,
1.267,1.29,0.023,,,
1.21,1.267,0.057,,,
2.044,1.21,0.834,,,
3.406,2.044,1.362,,,
3.96,3.406,0.554,,,
4.599,3.96,0.639,,,
4.469,4.599,0.13,,,
3.861,4.469,0.608,,,
3.664,3.861,0.197,,,
3.597,3.664,0.067,,,
3.145,3.597,0.452,,,
3.077,3.145,0.068,,,
2.527,3.077,0.55,,,
1.993,2.527,0.534,,,
1.926,1.993,0.067,,,
2.348,1.926,0.422,,,
2.451,2.348,0.103,,,
2.539,2.451,0.088,,,
2.415,2.539,0.124,,,
2.254,2.415,0.161,,,
2.269,2.254,0.015,,,
1.977,2.269,0.292,,,
1.826,1.977,0.151,,,
1.848,1.826,0.022,,,
1.591,1.848,0.257,,,
1.408,1.591,0.183,,,
0.771,1.408,0.637,,,
0.992,0.771,0.221,,,
9.424,0.992,8.432,,,
11.765,9.424,2.341,,,
7.94,11.765,3.825,,,
6.723,7.94,1.217,,,
3.663,6.723,3.06,,,
0.953,3.663,2.71,,,
0.953,0.953,0,,,
0.511,0.953,0.442,,,
0.547,0.511,0.036,,,
0.144,0.547,0.403,,,
0.054,0.144,0.09,,,
0.047,0.054,0.007,,,
0.028,0.047,0.019,,,
0,0.028,0.028,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0.012,0,0.012,,,
0.059,0.012,0.047,,,
0.357,0.059,0.298,,,
0.175,0.357,0.182,,,
0.366,0.175,0.191,,,
0.063,0.366,0.303,,,
0.04,0.063,0.023,,,
0,0.04,0.04,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0.028,0,0.028,,,
0.054,0.028,0.026,,,
0.052,0.054,0.002,,,
0.019,0.052,0.033,,,
0,0.019,0.019,,,
0.045,0,0.045,,,
0.074,0.045,0.029,,,
0.557,0.074,0.483,,,
1.838,0.557,1.281,,,
2.985,1.838,1.147,,,
1.768,2.985,1.217,,,
0.764,1.768,1.004,,,
0.663,0.764,0.101,,,
1.221,0.663,0.558,,,
1.69,1.221,0.469,,,
1.849,1.69,0.159,,,
2.185,1.849,0.336,,,
2.846,2.185,0.661,,,
3.605,2.846,0.759,,,
4.669,3.605,1.064,,,
5.704,4.669,1.035,,,
6.233,5.704,0.529,,,
6.145,6.233,0.088,,,
6.506,6.145,0.361,,,
6.85,6.506,0.344,,,
7.308,6.85,0.458,,,
7.629,7.308,0.321,,,
7.889,7.629,0.26,,,
8.576,7.889,0.687,,,
9.162,8.576,0.586,,,
9.202,9.162,0.04,,,
9.281,9.202,0.079,,,
10.114,9.281,0.833,,,
10.72,10.114,0.606,,,
11.044,10.72,0.324,,,
11.273,11.044,0.229,,,
11.58,11.273,0.307,,,
11.648,11.58,0.068,,,
11.274,11.648,0.374,,,
11.217,11.274,0.057,,,
11.084,11.217,0.133,,,
11.089,11.084,0.005,,,
10.982,11.089,0.107,,,
11.044,10.982,0.062,,,
10.935,11.044,0.109,,,
10.7,10.935,0.235,,,
10.719,10.7,0.019,,,
11.234,10.719,0.515,,,
11.715,11.234,0.481,,,
12.077,11.715,0.362,,,
12.089,12.077,0.012,,,
11.792,12.089,0.297,,,
11.35,11.792,0.442,,,
10.721,11.35,0.629,,,
9.816,10.721,0.905,,,
9.094,9.816,0.722,,,
9.06,9.094,0.034,,,
9.373,9.06,0.313,,,
9.287,9.373,0.086,,,
8.906,9.287,0.381,,,
8.743,8.906,0.163,,,
8.501,8.743,0.242,,,
8.191,8.501,0.31,,,
7.387,8.191,0.804,,,
6.671,7.387,0.716,,,
6.552,6.671,0.119,,,
6.45,6.552,0.102,,,
6.787,6.45,0.337,,,
7.134,6.787,0.347,,,
7.654,7.134,0.52,,,
8.363,7.654,0.709,,,
8.769,8.363,0.406,,,
8.509,8.769,0.26,,,
8.101,8.509,0.408,,,
8.142,8.101,0.041,,,
8.201,8.142,0.059,,,
8.235,8.201,0.034,,,
8.01,8.235,0.225,,,
7.613,8.01,0.397,,,
7.13,7.613,0.483,,,
7.028,7.13,0.102,,,
7.177,7.028,0.149,,,
7.498,7.177,0.321,,,
7.602,7.498,0.104,,,
7.438,7.602,0.164,,,
7.024,7.438,0.414,,,
6.488,7.024,0.536,,,
6.185,6.488,0.303,,,
6.468,6.185,0.283,,,
7.324,6.468,0.856,,,
8.371,7.324,1.047,,,
9.002,8.371,0.631,,,
9.122,9.002,0.12,,,
9.331,9.122,0.209,,,
9.403,9.331,0.072,,,
9.689,9.403,0.286,,,
10.151,9.689,0.462,,,
10.612,10.151,0.461,,,
11.126,10.612,0.514,,,
11.358,11.126,0.232,,,
11.453,11.358,0.095,,,
11.883,11.453,0.43,,,
11.902,11.883,0.019,,,
11.597,11.902,0.305,,,
11.122,11.597,0.475,,,
11.023,11.122,0.099,,,
11.368,11.023,0.345,,,
11.755,11.368,0.387,,,
12.15,11.755,0.395,,,
12.706,12.15,0.556,,,
13.104,12.706,0.398,,,
13.239,13.104,0.135,,,
13.467,13.239,0.228,,,
13.624,13.467,0.157,,,
13.384,13.624,0.24,,,
13.036,13.384,0.348,,,
12.647,13.036,0.389,,,
12.121,12.647,0.526,,,
11.035,12.121,1.086,,,
10.563,11.035,0.472,,,
10.17,10.563,0.393,,,
9.748,10.17,0.422,,,
9.09,9.748,0.658,,,
7.242,9.09,1.848,,,
6.376,7.242,0.866,,,
5.74,6.376,0.636,,,
5.36,5.74,0.38,,,
5.525,5.36,0.165,,,
5.725,5.525,0.2,,,
5.849,5.725,0.124,,,
5.759,5.849,0.09,,,
5.525,5.759,0.234,,,
5.579,5.525,0.054,,,
6.131,5.579,0.552,,,
6.628,6.131,0.497,,,
7.07,6.628,0.442,,,
7.712,7.07,0.642,,,
8.268,7.712,0.556,,,
8.762,8.268,0.494,,,
8.979,8.762,0.217,,,
8.969,8.979,0.01,,,
9.193,8.969,0.224,,,
9.598,9.193,0.405,,,
10.017,9.598,0.419,,,
10.325,10.017,0.308,,,
10.77,10.325,0.445,,,
10.891,10.77,0.121,,,
10.583,10.891,0.308,,,
9.924,10.583,0.659,,,
9.392,9.924,0.532,,,
9.188,9.392,0.204,,,
10.005,9.188,0.817,,,
11.385,10.005,1.38,,,
13.169,11.385,1.784,,,
14.167,13.169,0.998,,,
14.125,14.167,0.042,,,
14.206,14.125,0.081,,,
14.126,14.206,0.08,,,
13.6,14.126,0.526,,,
13.045,13.6,0.555,,,
12.359,13.045,0.686,,,
11.062,12.359,1.297,,,
9.423,11.062,1.639,,,
7.785,9.423,1.638,,,
6.651,7.785,1.134,,,
6.225,6.651,0.426,,,
6.376,6.225,0.151,,,
6.381,6.376,0.005,,,
6.268,6.381,0.113,,,
6.033,6.268,0.235,,,
5.62,6.033,0.413,,,
5.456,5.62,0.164,,,
5.175,5.456,0.281,,,
5.236,5.175,0.061,,,
5.668,5.236,0.432,,,
6.141,5.668,0.473,,,
6.745,6.141,0.604,,,
7.335,6.745,0.59,,,
8.308,7.335,0.973,,,
6.732,8.308,1.576,,,
6.421,6.732,0.311,,,
7.162,6.421,0.741,,,
6.987,7.162,0.175,,,
6.129,6.987,0.858,,,
5.766,6.129,0.363,,,
5.493,5.766,0.273,,,
